Name,link,Budget places (total),Lowest score budget,Paid places,Average cost (₽),Teachers with scientists step(%),Education level,Specialties
Санкт-Петербургский государственный институт культуры,https://vuzopedia.ru/vuz/1172,555,84.09,454,220796,67.33,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Библиотечно-информационная деятельность, Дизайн, Дирижирование, Искусство народного пения"
Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянов..,https://vuzopedia.ru/vuz/1230,2491,79.96,1070,230564,65.26,"Бакалавриат, Специалитет, Магистратура","Биотехнические системы и технологии, Инноватика, Информатика и вычислительная техника, Информационные системы и технологии, Компьютерная безопасность"
Санкт-Петербургский государственный университет,https://vuzopedia.ru/vuz/1239,4303,90.76,2630,344886,77.6,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Астрономия, Бизнес-информатика, Биология, Вокальное искусство"
Санкт-Петербургский государственный химико-фармацевтический университет,https://vuzopedia.ru/vuz/1268,382,76.56,244,235667,73.56,"Бакалавриат, Специалитет, Магистратура","Биология, Биотехнология, Товароведение, Фармация, Химическая технология"
Санкт-Петербургский политехнический университет Петра Великого,https://vuzopedia.ru/vuz/1271,5795,80.87,3733,217522,72.84,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Атомные станции: проектирование, эксплуатация и инжиниринг, Бизнес-информатика, Биоинженерия и биоинформатика, Биотехнические системы и технологии"
Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А.Бонч-Бруевича,https://vuzopedia.ru/vuz/1297,1343,77.96,785,200463,60.05,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Бизнес-информатика, Биотехнические системы и технологии, Зарубежное регионоведение, Инфокоммуникационные технологии и системы связи"
Первый Санкт-Петербургский государственный медицинский университет имени академика И. П. П..,https://vuzopedia.ru/vuz/1308,724,83.45,485,266125,77.24,"Бакалавриат, Специалитет, Магистратура","Клиническая психология, Лечебное дело, Медицинская биохимия, Медицинская кибернетика, Педиатрия"
Санкт-Петербургский государственный университет аэрокосмического приборостроения,https://vuzopedia.ru/vuz/1313,2504,78.18,1459,213176,70.14,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Безопасность информационных технологий в правоохранительной сфере, Бизнес-информатика, Биотехнические системы и технологии, Биотехнология"
Санкт-Петербургский государственный университет гражданской авиации,https://vuzopedia.ru/vuz/1335,707,75.94,825,208450,56.8,"Бакалавриат, Специалитет, Магистратура","Аэронавигация, Менеджмент, Прикладная математика, Реклама и связи с общественностью, Сервис"
Санкт-Петербургский государственный университет промышленных технологий и дизайна,https://vuzopedia.ru/vuz/1342,1691,83.16,6310,195669,80.2,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Графика, Декоративно-прикладное искусство и народные промыслы, Дизайн, Документоведение и архивоведение"
Санкт-Петербургский государственный технологический институт (технический университет),https://vuzopedia.ru/vuz/1382,1409,71.71,4852,176745,84.11,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Бизнес-информатика, Биотехнология, Информатика и вычислительная техника, Информационные системы и технологии"
"
                    Санкт-Петербургский государственный морской технический университет ""Корабелка""                ",https://vuzopedia.ru/vuz/1401,1323,69.62,870,223963,63.23,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Информатика и вычислительная техника, Информационная безопасность, Конструкторско-технологическое обеспечение машиностроительных производств, Корабельное вооружение"
